Vernier Format 2
Sin título.cmbl 16/09/2025 15:39:30 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

2.4	-14.2942465738	-7.21402757491	-1.10699123853	0.5067825	0.248722638889	-2.32180034722
2.5	-15.0796447372	-7.0782797442	1.83825187421	0.517244	-0.07074375	-2.6304871142
2.6	-15.742869853	-6.61285861033	2.66108842742	0.489804	-0.361150416667	-1.93663993056
2.7	-16.3711883837	-6.3801480434	1.84902551156	0.4350955	-0.525695138889	-0.451471103395
2.8	-16.9995069144	-6.31712226486	1.46521468069	0.3671815	-0.482867777778	1.33433881173
2.9	-17.6452787377	-6.18622257096	1.85845244425	0.317275	-0.211516666667	2.56635987654
3	-18.2561439759	-5.89533436229	1.78707709676	0.3177895	0.141201666667	2.59761628086
3.1	-18.8146493365	-5.70140888985	0.503667546486	0.355348	0.398213472222	1.59701435185
3.2	-19.3731546971	-5.75473839477	-1.17028635801	0.4121145	0.489394305556	0.185487307099
3.3	-19.9491133503	-5.99714523532	-2.09412576146	0.4659655	0.421365972222	-1.1145912037
3.4	-20.5599785885	-6.3365148121	-1.26724909423	0.5057535	0.234002222222	-2.01095659722
3.5	-21.2406569968	-6.41408500108	1.14469896929	0.519645	-0.0305365277778	-2.29132469136
3.6	-21.88642882	-6.06017101387	3.05028607698	0.499065	-0.286547916667	-1.8415341821
3.7	-22.4623874732	-5.59474988	2.84424026251	0.453789	-0.446281111111	-0.819243325617
3.8	-22.9859862488	-5.32810235539	0.96558724821	0.398909	-0.471482083333	0.46821087963
3.9	-23.4921317318	-5.41536881799	-0.826876667226	0.3476305	-0.350002916667	1.68754147377
4	-24.0506370925	-5.6820163426	-0.942693268824	0.316589	-0.0924670833333	2.39110169753
4.1	-24.6615023307	-5.68686447941	-0.317822302061	0.325164	0.206276388889	2.21334247685
4.2	-25.2025543988	-5.57535733276	-1.20799408876	0.3658095	0.419793888889	1.23845231481
4.3	-25.7436064669	-5.80321976288	-3.1028075591	0.4224045	0.481343333333	-0.0963231867284
4.4	-26.3370184126	-6.26864089675	-4.03068707656	0.4741975	0.392163333333	-1.35749660494
4.5	-26.9653369433	-6.95707632392	-1.69819458855	0.5108985	0.178931666667	-2.22335987654
4.6	-27.8205482768	-6.80193594597	2.3728936281	0.5167295	-0.108521388889	-2.39766527778
4.7	-28.3790536374	-6.13289306604	3.37080178838	0.487746	-0.374060555556	-1.7137693287
4.8	-28.9899188756	-5.9001824991	2.10085928481	0.431151	-0.5119275	-0.339877006173
4.9	-29.5484242363	-5.78382721564	1.07197691712	0.3692395	-0.461049166667	1.23284151235
5	-30.1418361819	-5.7692828052	0.685472676902	0.322763	-0.22680875	2.35471087963
5.1	-30.7177948351	-5.63353497449	0.200658995793	0.3164175	0.0931340277778	2.5369163966
5.2	-31.2588469032	-5.61899056406	-1.27128920824	0.34643	0.362055555556	1.77429718364
5.3	-31.8173522639	-5.86139740461	-2.8536671952	0.4007955	0.493300694444	0.446336689815
5.4	-32.4107642095	-6.29772971761	-3.21323734202	0.4587625	0.458143194444	-0.98118908179
5.5	-33.0739893253	-6.72436575699	-1.42212013125	0.505239	0.270064861111	-2.07947719907
5.6	-33.8070276111	-6.66133997845	1.10564453386	0.5211885	-0.0155779166667	-2.48799390432
5.7	-34.4353461418	-6.30742599124	1.83690516954	0.501466	-0.29712375	-2.05445354938
5.8	-35.04621138	-6.12804492922	0.949426792173	0.454818	-0.489299027778	-0.863679822531
5.9	-35.6396233257	-6.14258933966	0.141403990324	0.3905055	-0.516453194444	0.809543518519
6	-36.2679418564	-6.22985580226	0.425558675641	0.330652	-0.314845416667	2.28355690586
6.1	-36.9137136797	-6.08441169792	0.961547134201	0.3140165	0.032585	2.74463518519
6.2	-37.4896723328	-5.90503063591	0.391891058897	0.3417995	0.33957	2.03006508488
6.3	-38.065630986	-5.96805641446	-0.531948344551	0.395479	0.495730277778	0.620575925926
6.4	-38.6764962242	-6.11350051879	-0.577736303322	0.456876	0.465098472222	-0.851373109568
6.5	-39.3048147549	-6.12804492922	-0.0808022801849	0.501123	0.283641944444	-1.87349193673
6.6	-39.8982267006	-6.13774120285	0.556189028606	0.518273	0.0363008333333	-2.25834799383
6.7	-40.5439985238	-6.02623405619	1.11372476188	0.5081545	-0.213755694444	-2.04168368056
6.8	-41.119957177	-5.80321976288	0.606017101387	0.472311	-0.417364305556	-1.23632179784
6.9	-41.6784625376	-5.8129160365	-0.661231992847	0.4165735	-0.510355416667	0.116397685185
7	-42.2544211908	-6.06017101387	-0.899598719392	0.354662	-0.419984444444	1.67674332562
7.1	-42.9176463065	-6.09895610836	-0.284154685317	0.3136735	-0.128863194444	2.6820429784
7.2	-43.4936049597	-5.9874489617	-0.778395299115	0.3232775	0.22423625	2.50825366512
7.3	-44.0870169054	-6.13774120285	-2.21667588641	0.369411	0.464288611111	1.29186080247
7.4	-44.6978821436	-6.50619960049	-2.78094514303	0.4323515	0.516072083333	-0.350026736111
7.5	-45.3785605519	-6.92798750306	-1.01810873033	0.489118	0.372821944444	-1.76188460648
7.6	-46.1290521302	-6.88435427176	2.37154692343	0.5181015	0.0991365277778	-2.43833036265
7.7	-46.8097305385	-6.30742599124	4.32292198989	0.509698	-0.190460277778	-2.23294058642
7.8	-47.3856891916	-5.74019398434	3.45160406857	0.4728255	-0.401881666667	-1.34022750772
7.9	-47.9267412598	-5.48324273335	1.03965600505	0.4196605	-0.490299444444	-0.0353057098765
8	-48.4503400354	-5.57535733276	-1.08948407783	0.362551	-0.423986111111	1.3989027392
8.1	-49.0262986885	-5.84685299418	-1.85979914892	0.319333	-0.184076666667	2.46388333333
8.2	-49.6371639267	-6.00684150895	-1.95406847581	0.316589	0.151825138889	2.57797847222
8.3	-50.2305758724	-6.15713375009	-2.52911136979	0.355005	0.428464166667	1.6058275463
8.4	-50.8414411106	-6.53044028455	-2.75805116365	0.417774	0.52950625	-0.0168588734568
8.5	-51.5395728114	-6.8601135877	-1.48810866007	0.479514	0.417078472222	-1.57232152778
8.6	-52.2377045122	-6.92798750306	0.787822231803	0.513814	0.154397638889	-2.45178834877
8.7	-52.9532895055	-6.6855806625	2.83616003449	0.5132995	-0.150014861111	-2.42553402778
8.8	-53.5990613287	-6.20076698139	3.2320912074	0.478828	-0.397117777778	-1.57753533951
8.9	-54.1750199819	-5.88078995186	1.9810025692	0.423605	-0.514261805556	-0.150459490741
9	-54.7509786351	-5.80321976288	0.548108800588	0.3603215	-0.444756666667	1.43374529321
9.1	-55.3269372882	-5.84200485737	-0.308395369373	0.317618	-0.186363333333	2.51890625
9.2	-55.9203492339	-5.90503063591	-0.779742003784	0.3160745	0.150538888889	2.57370420525
9.3	-56.5137611796	-5.94866386721	-1.58776480563	0.354319	0.417411944444	1.6079712963
9.4	-57.0897198327	-6.19107070777	-2.47389647833	0.414001	0.518263472222	0.0836988811728
9.5	-57.735491656	-6.56437724222	-2.06719166806	0.4741975	0.428035416667	-1.39255088735
9.6	-58.4161700643	-6.77769526191	-0.0202005700461	0.5119275	0.1912225	-2.31408549383
9.7	-59.1317550576	-6.58861792628	2.14395383424	0.516901	-0.102709444444	-2.42987445988
9.8	-59.7600735883	-6.14743747647	2.3594265814	0.4879175	-0.358911388889	-1.74926030093
9.9	-60.3360322414	-5.93411945678	0.821489848547	0.436639	-0.5050675	-0.433818248457
10	-60.9119908946	-6.03593032981	-0.336676167437	0.3730125	-0.478770833333	1.20038090278
10.1	-61.5403094253	-6.18622257096	0.10638966891	0.3212195	-0.238099166667	2.47272299383
10.2	-62.1860812486	-6.031082193	0.758194729069	0.314874	0.114380972222	2.66020848765
10.3	-62.7445866092	-5.88078995186	0.0404011400925	0.351232	0.396069722222	1.71519849537
10.4	-63.3379985549	-5.96805641446	-1.22954136348	0.410228	0.501113472222	0.220687152778
10.5	-63.9314105006	-6.15713375009	-2.03756416533	0.4666515	0.424510138889	-1.16009957562
10.6	-64.5422757388	-6.54498469498	-1.11641817122	0.5043815	0.227523333333	-2.06181111111
10.7	-65.2753140246	-6.58376978947	1.56756423559	0.51793	-0.03901625	-2.32610108025
10.8	-65.9210858478	-6.06501915068	2.66512854143	0.495635	-0.294408333333	-1.88694992284
10.9	-66.4621379159	-5.7692828052	1.16759294867	0.4525885	-0.468147361111	-0.816901080247
11	-67.0380965691	-5.80806789969	-0.628911080773	0.390677	-0.497492916667	0.677120640432
11.1	-67.5966019297	-6.10380424517	-0.593896759359	0.3359685	-0.331280833333	2.08315597994
11.2	-68.2947336305	-6.09410797155	0.96558724821	0.3095575	-0.00876555555556	2.66894228395
11.3	-68.8532389912	-5.74989025796	1.1352720366	0.334768	0.309890972222	2.08815806327
11.4	-69.4117443518	-5.68686447941	-0.382464126209	0.386561	0.472291944444	0.762089891975
11.5	-69.9702497125	-5.84200485737	-1.81401119015	0.444185	0.460144027778	-0.625273649691
11.6	-70.5636616581	-6.17167816052	-1.94329483845	0.4886035	0.316084027778	-1.67680949074
11.7	-71.2094334814	-6.41893313789	-0.189885358435	0.5143285	0.0854165277778	-2.22423325617
11.8	-71.8901118896	-6.25409648631	1.97561575052	0.509012	-0.180456111111	-2.12998765432
11.9	-72.4835238353	-5.85170113099	2.50891079974	0.474026	-0.395831527778	-1.36910196759
12	-73.042029196	-5.59959801682	1.47194820404	0.420861	-0.498159861111	-0.0973553626543
12.1	-73.5830812641	-5.5511166487	0.173724902397	0.360493	-0.433847361111	1.34701604938
12.2	-74.1415866247	-5.63353497449	-0.634297899452	0.3184755	-0.195557638889	2.3837441358
12.3	-74.7175452779	-5.68686447941	-1.42346683592	0.3143595	0.122384305556	2.51741091821
12.4	-75.2760506385	-5.81776417331	-3.058366305	0.3476305	0.390734166667	1.68907650463
12.5	-75.8520092917	-6.25894462312	-4.73905373285	0.4049115	0.512880277778	0.227819753086
12.6	-76.4977811149	-6.94253191349	-4.43604518215	0.465794	0.447710277778	-1.35625270062
12.7	-77.2482726933	-7.48552323633	-0.96424054354	0.5102125	0.202560555556	-2.46696662809
12.8	-78.0860307342	-7.17524248042	2.81730616911	0.513814	-0.128720277778	-2.61280779321
12.9	-78.7143492649	-6.54498469498	3.15128892721	0.479857	-0.408884583333	-1.70978618827
13	-79.3426677957	-6.3365148121	1.36959864913	0.419832	-0.537176111111	-0.045362808642
13.1	-79.9535330339	-6.39954059065	0.439025722338	0.352604	-0.435562361111	1.76095829475
13.2	-80.6342114421	-6.40438872746	0.832263485905	0.312473	-0.11704875	2.7912683642
13.3	-81.2625299729	-6.17652629734	0.778395299115	0.3256785	0.244339861111	2.4940413966
13.4	-81.8559419185	-6.08925983474	-0.639684718131	0.374556	0.46991	1.17629679784
13.5	-82.4493538642	-6.29772971761	-1.98773609255	0.436639	0.499303194444	-0.440514158951
13.6	-83.0951256875	-6.67588438888	-1.50965593479	0.4886035	0.3541475	-1.76779976852
13.7	-83.8107106808	-6.79708780916	0.75146120572	0.517244	0.0908473611111	-2.44083140432
13.8	-84.5088423816	-6.41893313789	1.97561575052	0.5088405	-0.200559722222	-2.29657820216
13.9	-85.0848010347	-6.12804492922	0.636991308791	0.472311	-0.432227638889	-1.35564398148
14	-85.6956662729	-6.2056151182	-1.48810866007	0.4124575	-0.530125555556	0.237678356481
14.1	-86.2890782186	-6.61770674715	-1.80189084812	0.347459	-0.407884166667	1.98544332562
14.2	-87.039569797	-6.84072104046	0.444412541017	0.309386	-0.06388375	2.92092554012
14.3	-87.7202482052	-6.48195891643	2.33922601135	0.3308235	0.317370277778	2.3643974537
14.4	-88.3311134434	-6.12804492922	1.93790801977	0.3925635	0.50206625	0.77302037037
14.5	-88.9245253891	-5.98260082489	0.379501375935	0.451731	0.459238888889	-0.798499236111
14.6	-89.5004840423	-6.10380424517	-0.664733424988	0.493577	0.286786111111	-1.79227027778
14.7	-90.128802573	-6.34621108572	0.431214835255	0.514157	0.0461620833333	-2.12123533179
14.8	-90.8269342738	-6.09992573572	2.3149853273	0.503524	-0.187335166667	-1.89640094907
14.9	-91.3679863419	-5.68686447941	2.70054687425	0.468538	-0.348907222222	-1.4861533642
15	-91.90903841	-5.49778714378	2.42029763248	0.418803	-0.442851111111	-1.16725334876
