"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad 1 (rad/s)","Último: Aceleración 1 (rad/s²)","Último: Posición (m)","Último: Velocidad 2 (m/s)","Último: Aceleración 2 (m/s²)"
1,-5.6025068989,-5.61414242725,-6.70120243667,0.3973655,-0.566521666667,0.600144135802
1.05,-5.89921287174,-6.06986728749,-5.4891682339,0.36701,-0.511546388889,1.95054783951
1.1,-6.2133721371,-6.3801480434,0.242406840555,0.3421425,-0.36701,3.17010339506
1.15,-6.5624379875,-6.15713375009,7.85398163397,0.327565,-0.161591111111,3.68465632716
1.2,-6.85914396034,-5.36203931307,10.8759869129,0.326536,0.0379205555556,3.39675864198
1.25,-7.0860367631,-4.7608703485,7.82704754058,0.3335675,0.192746944444,2.70869429012
1.3,-7.31292956586,-4.56694487605,3.81386762473,0.3472875,0.308604722222,1.9548882716
1.35,-7.53982236862,-4.4990709607,1.56217741691,0.3658095,0.3867325,1.24390432099
1.4,-7.76671517137,-4.42150077172,-0.290888208666,0.38759,0.427511388889,0.678801234568
1.45,-7.97615468161,-4.46998213983,-2.91965572402,0.4097135,0.442565277778,0.348716666667
1.5,-8.20304748437,-4.73178152763,-5.1282513824,0.431494,0.457333333333,0.0996711419753
1.55,-8.44739357965,-5.05175855716,-6.03323692047,0.4553325,0.465908333333,-0.392015123457
1.6,-8.70919296745,-5.37173558669,-6.15713375009,0.4802,0.430369722222,-1.10527515432
1.65,-8.98844564777,-5.64323124811,-6.35644604121,0.5006085,0.347478055556,-1.69170987654
1.7,-9.26769832809,-6.00199337214,-6.07094465123,0.515186,0.249818333333,-2.05508873457
1.75,-9.58185759345,-6.41893313789,-2.42406840555,0.525819,0.1414875,-2.33859305556
1.8,-9.93092344385,-6.39954059065,4.00240627849,0.530621,0.0104805555556,-2.46171311728
1.85,-10.2450827092,-5.91472690954,8.43037123263,0.526848,-0.119668888889,-2.28158518519
1.9,-10.5243353895,-5.34264676583,8.591975793,0.517244,-0.223616944444,-1.94758364198
1.95,-10.7686814848,-4.95479582094,6.24870966763,0.5040385,-0.312892222222,-1.60389552469
2,-11.0130275801,-4.73178152763,3.65226306436,0.4855165,-0.387018333333,-1.21802052469
2.05,-11.2399203828,-4.59603369692,1.05581646108,0.4639075,-0.432656388889,-0.884124845679
2.1,-11.4668131856,-4.60572997054,-1.83151835086,0.441784,-0.466956388889,-0.671708333333
2.15,-11.6937059884,-4.78026289574,-4.47644632224,0.417774,-0.50421,-0.320980246914
2.2,-11.9380520836,-5.10023992527,-5.86085872275,0.3908485,-0.521645833333,0.490786419753
2.25,-12.1998514714,-5.48809087016,-4.53570132771,0.3627225,-0.474102222222,1.67508919753
2.3,-12.4965574443,-5.66262379536,-0.845730532602,0.339913,-0.348240277778,2.73410169753
2.35,-12.7758101246,-5.60444615363,3.42601667984,0.3260215,-0.176359166667,3.2669691358
2.4,-13.0725160974,-5.23598775598,5.92550054689,0.322077,0.00400166666667,3.20916728395
2.45,-13.2994089002,-4.8481368111,5.18211956919,0.327565,0.160543055556,2.74151219136
2.5,-13.5437549955,-4.69299643314,3.56607396549,0.3393985,0.284785277778,2.08600108025
2.55,-13.7706477982,-4.53785605519,2.44022886158,0.3575775,0.371202222222,1.38375092593
2.6,-13.997540601,-4.42150077172,0.813409620528,0.378329,0.416745,0.808431944444
2.65,-14.2069801112,-4.42150077172,-1.49753559276,0.3997665,0.444280277778,0.393232561728
2.7,-14.433872914,-4.56694487605,-4.06166128396,0.423262,0.455904166667,0.0119097222222
2.75,-14.6607657168,-4.80935171661,-7.00286428269,0.4464145,0.444661388889,-0.346546450617
2.8,-14.905111812,-5.26507657685,-9.91713318803,0.468195,0.419793888889,-0.704790895062
2.85,-15.1843644924,-5.82746044694,-11.8779351872,0.488775,0.380063055556,-1.19954722222
2.9,-15.4810704652,-6.52559214773,-11.3823478687,0.507297,0.310605555556,-1.89031111111
2.95,-15.8301363156,-7.23342012215,-5.18211956919,0.522046,0.1929375,-2.5809691358
3,-16.2315620435,-7.33038285838,5.97936873368,0.528563,0.0345858333333,-2.89808533951
3.05,-16.615534479,-6.44802195876,13.3108289558,0.5249615,-0.118144444444,-2.75622731481
3.1,-16.8773338668,-5.48809087016,11.0483651106,0.515529,-0.247150555556,-2.40158225309
